section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"B.S., (Computer) Systems Engineering",University of Arkansas at Little Rock,"Little Rock, AR",2014,2018,,,
industry_positions,TRUE,Software Developer Intern,Quansight,,2018,2018,"Worked on [xnd](https://github.com/xnd-project), a library for refactoring of NumPy capabilities to low-level libraries and high level interfaces. ",Worked on integrating cuDF - GPU DataFrame Library with Apache Arrow Library,Worked closely with a customer to port existing PostgreSQL-based ETL code base to Dask.
industry_positions,TRUE,Data Science Intern,First Orion,"Little Rock, AR",2017,2018,"Designed and built scoring, predictive models with Scikit-learn using First Orion' s proprietary telecommunication data.","Identified patterns and characteristics within First Orion's data warehouses using Dask, Apache Spark, Pandas.",
industry_positions,TRUE,Software Engineer,The US National Center for Atmospheric Research,"Boulder, CO",2018,2020,Analyzed and visualized data for CATOS fish tracking project.,Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).,Ran project to mathematically model the migration patterns of Mysis (honors thesis project.)
industry_positions,TRUE,Research Intern,The US National Center for Atmospheric Research,"Boulder, CO",2017,2017,Cleaned/fixed Spark launch bash scripts that work with the LSF/PBS schedulers.,"Wrote [spark-xarray](https://ncar.github.io/PySpark4Climate/), a ython package that integrates PySpark and xarray for Climate Data Analysis.",Contributed Jupyter notebooks and scripts using Apache Spark to NCAR's Coupled Model Inter-comparison Project (CMIP) Analysis Platform.
